Month,In_Out,Australian_City,International_City,Airline,Route,Port_Country,Port_Region,Service_Country,Service_Region,Stops,All_Flights,Max_Seats,Year,Month_num
Jan-15,I,Adelaide,Auckland,Air New Zealand,AKL-ADL,New Zealand,New Zealand,New Zealand,New Zealand,0,31,5043,2015,1
Jan-15,I,Adelaide,Denpasar,Jetstar,DPS-ADL,Indonesia,SE Asia,Indonesia,SE Asia,0,31,5580,2015,1
Jan-15,I,Adelaide,Denpasar,Virgin Australia,DPS-ADL,Indonesia,SE Asia,Indonesia,SE Asia,0,22,3872,2015,1
Jan-15,I,Adelaide,Dubai,Emirates,DXB-ADL,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,31,10974,2015,1
Jan-15,I,Adelaide,Hong Kong,Cathay Pacific Airways,HKG-ADL,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,17,4267,2015,1
Jan-15,I,Adelaide,Kuala Lumpur,AirAsia X,KUL-ADL,Malaysia,SE Asia,Malaysia,SE Asia,0,15,5655,2015,1
Jan-15,I,Adelaide,Kuala Lumpur,Malaysia Airlines,KUL-ADL,Malaysia,SE Asia,Malaysia,SE Asia,0,31,8711,2015,1
Jan-15,I,Adelaide,Singapore,Singapore Airlines,SIN-ADL,Singapore,SE Asia,Singapore,SE Asia,0,45,12825,2015,1
Jan-15,I,Brisbane,Abu Dhabi,Etihad Airways,AUH-SIN-BNE,United Arab Emirates,Middle East,United Arab Emirates,Middle East,1,31,8122,2015,1
Jan-15,I,Brisbane,Apia,Virgin Samoa,APW-BNE,Western Samoa,Islands,Western Samoa,Islands,0,5,900,2015,1
Jan-15,I,Brisbane,Auckland,Air New Zealand,AKL-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,62,16678,2015,1
Jan-15,I,Brisbane,Auckland,China Airlines,AKL-BNE-TPE,New Zealand,New Zealand,New Zealand,New Zealand,0,18,6750,2015,1
Jan-15,I,Brisbane,Auckland,Emirates,AKL-BNE-DXB,New Zealand,New Zealand,New Zealand,New Zealand,0,31,15128,2015,1
Jan-15,I,Brisbane,Auckland,Qantas Airways,AKL-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,62,10416,2015,1
Jan-15,I,Brisbane,Auckland,Virgin Australia,AKL-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,53,9500,2015,1
Jan-15,I,Brisbane,Bangkok,Thai Airways International,BKK-BNE,Thailand,SE Asia,Thailand,SE Asia,0,31,10808,2015,1
Jan-15,I,Brisbane,Christchurch,Air New Zealand,CHC-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,40,6601,2015,1
Jan-15,I,Brisbane,Christchurch,Virgin Australia,CHC-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,36,6472,2015,1
Jan-15,I,Brisbane,Denpasar,Garuda Indonesia,DPS-BNE,Indonesia,SE Asia,Indonesia,SE Asia,0,24,3264,2015,1
Jan-15,I,Brisbane,Denpasar,Jetstar,DPS-BNE,Indonesia,SE Asia,Indonesia,SE Asia,0,15,5025,2015,1
Jan-15,I,Brisbane,Denpasar,Virgin Australia,DPS-BNE,Indonesia,SE Asia,Indonesia,SE Asia,0,43,7568,2015,1
Jan-15,I,Brisbane,Dubai,Emirates,DXB-BNE-AKL,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,31,15128,2015,1
Jan-15,I,Brisbane,Dubai,Emirates,DXB-SIN-BNE,United Arab Emirates,Middle East,United Arab Emirates,Middle East,1,31,11160,2015,1
Jan-15,I,Brisbane,Dunedin,Virgin Australia,DUD-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,13,2340,2015,1
Jan-15,I,Brisbane,Espiritu Santo,Air Vanuatu,VLI-SON-BNE,Vanuatu,Islands,Vanuatu,Islands,0,4,680,2015,1
Jan-15,I,Brisbane,Guangzhou,China Southern Airlines,CAN-BNE,China,NE Asia,China,NE Asia,0,31,6758,2015,1
Jan-15,I,Brisbane,Hong Kong,Cathay Pacific Airways,HKG-BNE,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,31,7781,2015,1
Jan-15,I,Brisbane,Hong Kong,Cathay Pacific Airways,HKG-CNS-BNE,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,1,18,4518,2015,1
Jan-15,I,Brisbane,Hong Kong,Qantas Airways,HKG-BNE,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,31,9198,2015,1
Jan-15,I,Brisbane,Honiara,Solomon Airlines,HIR-BNE,Solomon Islands,Islands,Solomon Islands,Islands,0,19,2584,2015,1
Jan-15,I,Brisbane,Honiara,Virgin Australia,HIR-BNE,Solomon Islands,Islands,Solomon Islands,Islands,0,9,1584,2015,1
Jan-15,I,Brisbane,Honolulu,Hawaiian Airlines,HNL-BNE,USA,N America,USA,N America,0,18,5292,2015,1
Jan-15,I,Brisbane,Honolulu,Jetstar,HNL-BNE,USA,N America,USA,N America,0,8,2424,2015,1
Jan-15,I,Brisbane,Honolulu,Jetstar,HNL-BNE-MEL,USA,N America,USA,N America,0,4,1212,2015,1
Jan-15,I,Brisbane,Kuala Lumpur,Malaysia Airlines,KUL-BNE,Malaysia,SE Asia,Malaysia,SE Asia,0,31,8711,2015,1
Jan-15,I,Brisbane,Los Angeles,Qantas Airways,LAX-BNE,USA,N America,USA,N America,0,31,11262,2015,1
Jan-15,I,Brisbane,Los Angeles,Qantas Airways,NYC-LAX-BNE-SYD,USA,N America,USA,N America,0,1,353,2015,1
Jan-15,I,Brisbane,Los Angeles,Virgin Australia,LAX-BNE,USA,N America,USA,N America,0,31,11191,2015,1
Jan-15,I,Brisbane,Manila,Philippine Airlines,MNL-DRW-BNE,Philippines,SE Asia,Philippines,SE Asia,1,13,2329,2015,1
Jan-15,I,Brisbane,Nadi,Fiji Airways,NAN-BNE,Fiji,Islands,Fiji,Islands,0,31,5084,2015,1
Jan-15,I,Brisbane,Nadi,Virgin Australia,NAN-BNE,Fiji,Islands,Fiji,Islands,0,31,5546,2015,1
Jan-15,I,Brisbane,Nauru,Nauru Airlines,INU-BNE,Nauru,Islands,Nauru,Islands,0,13,1664,2015,1
Jan-15,I,Brisbane,New York,Qantas Airways,NYC-LAX-BNE-SYD,USA,N America,USA,N America,1,1,353,2015,1
Jan-15,I,Brisbane,Noumea,Air Caledonie,NOU-BNE,New Caledonia,Islands,New Caledonia,Islands,0,18,3060,2015,1
Jan-15,I,Brisbane,Noumea,Qantas Airways,NOU-BNE,New Caledonia,Islands,New Caledonia,Islands,0,5,840,2015,1
Jan-15,I,Brisbane,Port Moresby,Air Niugini,POM-BNE,Papua New Guinea,Islands,Papua New Guinea,Islands,0,40,7484,2015,1
